(scrambled) Authors,Abstract Link,Authors,Cited-By Count,Cited-By Link,DOI,Date,EID,Funding Agency,Page Range,PubMed ID,Scopus ID,Scopus Link,SearchedAuthor,Source Title,Title,Type
,https://api.elsevier.com/content/abstract/scopus_id/13444278544,Wayne C. Drevets;Earle Bain;Richard E. Carson;Alexander Neumeister;Omer Bonne;David A. Luckenbaugh;William Eckelman;Dennis S. Charney;Peter Herscovitch;Allison C. Nugent;Meena Vythilingam,55,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=13444278544&origin=inward,10.1176/appi.ajp.162.2.383,2005-02-01,2-s2.0-13444278544,,383-385,15677606.0,13444278544,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=13444278544&origin=inward,Nugent,American Journal of Psychiatry,No change in serotonin type 1A receptor binding in patients with posttraumatic stress disorder,Article
,https://api.elsevier.com/content/abstract/scopus_id/77958001705,Maura L. Furey;Elana M. Hoffman;Ashish Khanna;Wayne C. Drevets,66,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77958001705&origin=inward,10.1038/npp.2010.131,2010-11-01,2-s2.0-77958001705,,2479-2488,20736989.0,77958001705,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77958001705&origin=inward,Nugent,Neuropsychopharmacology,Scopolamine produces larger antidepressant and antianxiety effects in women than in men,Article
,https://api.elsevier.com/content/abstract/scopus_id/62149122946,Daniel S. Pine;Monique Ernst;Gary Hazlett;Steven M. Southwick;Wayne Drevets;Dennis S. Charney;Eric E. Nelson;Matthew Scaramozza;Tracy Waldeck;Meena Vythilingam,49,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=62149122946&origin=inward,10.1016/j.pscychresns.2008.06.008,2009-04-30,2-s2.0-62149122946,,75-77,19243926.0,62149122946,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=62149122946&origin=inward,Pine,Psychiatry Research - Neuroimaging,Reward circuitry in resilience to severe trauma: An fMRI investigation of resilient special forces soldiers,Article
,https://api.elsevier.com/content/abstract/scopus_id/79955549915,Wayne C. Drevets;Joanna Szczepanik;Richard E. Carson;Krystle Barhaghi;Allison Nugent;Peter Herscovitch;Chantal Martin-Soelch;Denise Rallis,56,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79955549915&origin=inward,10.1111/j.1460-9568.2011.07642.x,2011-05-01,2-s2.0-79955549915,,1706-1715,21453423.0,79955549915,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79955549915&origin=inward,Nugent,European Journal of Neuroscience,Lateralization and gender differences in the dopaminergic response to unpredictable reward in the human ventral striatum,Article
,https://api.elsevier.com/content/abstract/scopus_id/58149301402,Wayne C. Drevets;Daniel Pine;Jun Shen;Gregor Hasler;Jan Willem van der Veen;Marilla Geraci,38,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=58149301402&origin=inward,10.1016/j.biopsych.2008.06.023,2009-02-01,2-s2.0-58149301402,,273-275,18692172.0,58149301402,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=58149301402&origin=inward,Pine,Biological Psychiatry,Prefrontal Cortical Gamma-Aminobutyric Acid Levels in Panic Disorder Determined by Proton Magnetic Resonance Spectroscopy,Article
,https://api.elsevier.com/content/abstract/scopus_id/78650172495,Julian Francis Thayer;John James Sollers;Wayne Curtis Drevets;Earle Eugene Bain;Allison Carol Nugent,27,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78650172495&origin=inward,10.1016/j.pscychresns.2010.08.013,2011-01-30,2-s2.0-78650172495,,1-8,21129936.0,78650172495,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78650172495&origin=inward,Nugent,Psychiatry Research - Neuroimaging,Heart rate variability during motor and cognitive tasks in females with major depressive disorder,Article
,https://api.elsevier.com/content/abstract/scopus_id/84876454339,Wayne C. Drevets;Jeff H. Duyn;Peter van Gelderen;Maura L. Furey;Jacco A. de Zwart;J. Martijn Jansma,6,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84876454339&origin=inward,10.1016/j.jneumeth.2013.02.017,2013-05-15,2-s2.0-84876454339,NIH,190-195,23473798.0,84876454339,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84876454339&origin=inward,Duyn,Journal of Neuroscience Methods,In vivo evaluation of the effect of stimulus distribution on FIR statistical efficiency in event-related fMRI,Article
,https://api.elsevier.com/content/abstract/scopus_id/77953462218,Jeff H. Duyn;David A. Leopold;Marieke L. Schölvinck;Frank Q. Ye;Alexander Maier,465,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77953462218&origin=inward,10.1073/pnas.0913110107,2010-06-01,2-s2.0-77953462218,,10238-10243,20439733.0,77953462218,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77953462218&origin=inward,Duyn,Proceedings of the National Academy of Sciences of the United States of America,Neural basis of global resting-state fMRI activity,Article
,https://api.elsevier.com/content/abstract/scopus_id/77649257562,Richard D. Leapman;Dragan Maric;Jeff H. Duyn;Bing Yao;Jacco A. De Zwart;Jongho Lee;Tie Qiang Li;Maria A. Aronova;Hellmut Merkle;Masaki Fukunaga;Peter Van Gelderen;Guofeng Zhang;Karin Shmueli;John F. Schenck,224,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77649257562&origin=inward,10.1073/pnas.0911177107,2010-02-23,2-s2.0-77649257562,,3834-3839,20133720.0,77649257562,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77649257562&origin=inward,Duyn,Proceedings of the National Academy of Sciences of the United States of America,Layer-specific variation of iron content in cerebral cortex as a source of MRI contrast,Article
,https://api.elsevier.com/content/abstract/scopus_id/84875045497,Jeff H. Duyn;Xiao Liu,203,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875045497&origin=inward,10.1073/pnas.1216856110,2013-03-12,2-s2.0-84875045497,,4392-4397,23440216.0,84875045497,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84875045497&origin=inward,Duyn,Proceedings of the National Academy of Sciences of the United States of America,Time-varying functional network information extracted from brief instances of spontaneous brain activity,Article
,https://api.elsevier.com/content/abstract/scopus_id/77950456760,Jeff H. Duyn;Jongho Lee;Hellmut Merkle;Masaki Fukunaga;Peter Van Gelderen;Karin Shmueli;Afonso C. Silva,163,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77950456760&origin=inward,10.1073/pnas.0910222107,2010-03-16,2-s2.0-77950456760,,5130-5135,20202922.0,77950456760,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77950456760&origin=inward,Duyn,Proceedings of the National Academy of Sciences of the United States of America,Sensitivity of MRI resonance frequency to the orientation of brain tissue microstructure,Article
,https://api.elsevier.com/content/abstract/scopus_id/84874541551,Jeff H. Duyn;Zhongming Liu;Xiao Liu;Michael C. Chen;Catie Chang,153,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84874541551&origin=inward,10.1016/j.neuroimage.2013.01.049,2013-05-05,2-s2.0-84874541551,,227-236,23376790.0,84874541551,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84874541551&origin=inward,Duyn,NeuroImage,EEG correlates of time-varying BOLD functional connectivity,Article
,https://api.elsevier.com/content/abstract/scopus_id/84871829601,Jeff H. Duyn;Martin Walter;Gary H. Glover;Hans Jochen Heinze;Coraline D. Metzger;Catie Chang,123,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84871829601&origin=inward,10.1016/j.neuroimage.2012.11.038,2013-03-01,2-s2.0-84871829601,,93-104,23246859.0,84871829601,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84871829601&origin=inward,Duyn,NeuroImage,Association between heart rate variability and fluctuations in resting-state functional connectivity,Article
,https://api.elsevier.com/content/abstract/scopus_id/77950544458,Jacco A. de Zwart;Zhongming Liu;Jeff H. Duyn;Masaki Fukunaga,90,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77950544458&origin=inward,10.1016/j.neuroimage.2010.01.092,2010-05-01,2-s2.0-77950544458,,102-111,20123024.0,77950544458,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77950544458&origin=inward,Duyn,NeuroImage,Large-scale spontaneous fluctuations and correlations in brain electrical activity observed with magnetoencephalography,Article
,https://api.elsevier.com/content/abstract/scopus_id/84877044901,Daniel S. Reich;Jeff H. Duyn;Jacco A. De Zwart;Hellmut Merkle;Peter van Gelderen;Afonso C. Silva;Pascal Sati,100,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84877044901&origin=inward,10.1016/j.neuroimage.2013.03.005,2013-08-15,2-s2.0-84877044901,,268-278,23528924.0,84877044901,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84877044901&origin=inward,Reich,NeuroImage,Micro-compartment specific T<inf>2</inf><sup>*</sup> relaxation in the brain,Article
,https://api.elsevier.com/content/abstract/scopus_id/84255175912,Daniel S. Reich;Jeff H. Duyn;Jacco A. De Zwart;Jongho Lee;Peter Van Gelderen;Pascal Sati,65,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84255175912&origin=inward,10.1002/mrm.22990,2012-01-01,2-s2.0-84255175912,,110-117,21630352.0,84255175912,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84255175912&origin=inward,Reich,Magnetic Resonance in Medicine,Nonexponential T <inf>2</inf>* decay in white matter,Article
,https://api.elsevier.com/content/abstract/scopus_id/84855435144,Jeff H. Duyn;Li Wei Kuo;Peter van Gelderen;Zhongming Liu;Jacco A. de Zwart,52,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84855435144&origin=inward,10.1016/j.neuroimage.2011.10.042,2012-02-01,2-s2.0-84855435144,,2073-2087,22036675.0,84855435144,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84855435144&origin=inward,Duyn,NeuroImage,Statistical feature extraction for artifact removal from concurrent fMRI-EEG recordings,Article
,https://api.elsevier.com/content/abstract/scopus_id/84889605075,Jeff H. Duyn;Xiao Liu;Catie Chang,55,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84889605075&origin=inward,10.3389/fnsys.2013.00101,2013-12-04,2-s2.0-84889605075,,,,84889605075,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84889605075&origin=inward,Duyn,Frontiers in Systems Neuroscience,Decomposition of spontaneous brain activity into distinct fMRI co-activation patterns,Article
,https://api.elsevier.com/content/abstract/scopus_id/84866060086,Jeff H. Duyn;Bing Yao;Li Wei Kuo;Peter van Gelderen;Zhongming Liu;Jacco A. de Zwart,38,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84866060086&origin=inward,10.1016/j.neuroimage.2012.08.025,2012-11-15,2-s2.0-84866060086,,1060-1069,22986355.0,84866060086,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84866060086&origin=inward,Duyn,NeuroImage,Finding thalamic BOLD correlates to posterior alpha EEG,Article
,https://api.elsevier.com/content/abstract/scopus_id/84893446105,Jeff H. Duyn;Morgan L. Pixa;Allen R. Braun;Walter S. Carr;Silvina G. Horovitz;Masaki Fukunaga;Dante Picchioni,27,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84893446105&origin=inward,10.5665/sleep.3422,2014-02-01,2-s2.0-84893446105,,387-397,24497667.0,84893446105,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84893446105&origin=inward,Duyn,Sleep,Decreased connectivity between the thalamus and the neocortex during human nonrapid eye movement sleep,Article
,https://api.elsevier.com/content/abstract/scopus_id/84908425865,Jeff H. Duyn;Daniel K. Sodickson;Jacco A. De Zwart;Ryan Brown;Qi Duan;Natalia Gudino;Peter Van Gelderen,23,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84908425865&origin=inward,10.1118/1.4895823,2014-10-01,2-s2.0-84908425865,,,25281973.0,84908425865,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84908425865&origin=inward,Duyn,Medical Physics,Characterization of a dielectric phantom for high-field magnetic resonance imaging applications,Article
,https://api.elsevier.com/content/abstract/scopus_id/84954217985,Peter van Gelderen;Jeff H. Duyn;Xu Jiang,19,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84954217985&origin=inward,10.1016/j.neuroimage.2015.12.032,2016-03-01,2-s2.0-84954217985,,85-95,26724780.0,84954217985,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84954217985&origin=inward,Duyn,NeuroImage,Effects of magnetization transfer on T<inf>1</inf> contrast in human brain white matter,Article
,https://api.elsevier.com/content/abstract/scopus_id/84882268901,Qi Duan;Peter van Gelderen;Jeff Duyn,13,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84882268901&origin=inward,10.1002/nbm.2920,2013-09-01,2-s2.0-84882268901,,1070-1078,23355474.0,84882268901,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84882268901&origin=inward,Duyn,NMR in Biomedicine,Improved Bloch-Siegert based B<inf>1</inf> mapping by reducing off-resonance shift,Article
,https://api.elsevier.com/content/abstract/scopus_id/84945441349,Jeff H. Duyn;Peter Van Gelderen;Jacco A. De Zwart;Hendrik Mandelkow,14,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84945441349&origin=inward,10.1002/mrm.25524,2015-01-01,2-s2.0-84945441349,,1388-1396,25399830.0,84945441349,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84945441349&origin=inward,Duyn,Magnetic Resonance in Medicine,A torque balance measurement of anisotropy of the magnetic susceptibility in white matter,Article
,https://api.elsevier.com/content/abstract/scopus_id/78650936663,Jeff H. Duyn;Jongho Lee;Masaki Fukunaga,10,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78650936663&origin=inward,10.1016/j.neuroimage.2010.10.071,2011-02-14,2-s2.0-78650936663,,2779-2788,21040793.0,78650936663,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78650936663&origin=inward,Duyn,NeuroImage,Improving contrast to noise ratio of resonance frequency contrast images (phase images) using balanced steady-state free precession,Article
,https://api.elsevier.com/content/abstract/scopus_id/84964772093,Jeff H. Duyn;Jacco A. De Zwart;Hendrik Mandelkow,14,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84964772093&origin=inward,10.3389/fnhum.2016.00128,2016-03-31,2-s2.0-84964772093,,1-12,,84964772093,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84964772093&origin=inward,Duyn,Frontiers in Human Neuroscience,Linear discriminant analysis achieves high classification accuracy for the BOLD fMRI response to naturalistic movie stimuli,Article
,https://api.elsevier.com/content/abstract/scopus_id/84890933895,Jeff H. Duyn;Molly G. Bright;Kevin Murphy;Jacco A. de Zwart;Marta Bianciardi,12,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84890933895&origin=inward,10.1016/j.neuroimage.2013.10.055,2014-02-15,2-s2.0-84890933895,,287-296,24211818.0,84890933895,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84890933895&origin=inward,Duyn,NeuroImage,Early anti-correlated BOLD signal changes of physiologic origin,Article
,https://api.elsevier.com/content/abstract/scopus_id/84973444604,Jeff H. Duyn;John Schenck,31,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84973444604&origin=inward,10.1002/nbm.3546,2017-04-01,2-s2.0-84973444604,,,27240118.0,84973444604,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84973444604&origin=inward,Duyn,NMR in Biomedicine,Contributions to magnetic susceptibility of brain tissue,Review
,https://api.elsevier.com/content/abstract/scopus_id/84857243554,Qi Duan;Peter Van Gelderen;Jeff Duyn,7,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84857243554&origin=inward,10.1002/mrm.23278,2012-03-01,2-s2.0-84857243554,,601-608,22222623.0,84857243554,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84857243554&origin=inward,Duyn,Magnetic Resonance in Medicine,Tailored excitation using nonlinear B 0-shims,Article
,https://api.elsevier.com/content/abstract/scopus_id/84924815051,Daniel S. Reich;Jeff H. Duyn;Jacco A. De Zwart;Xiaozhen Li;Peter Van Gelderen;Pascal Sati,8,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84924815051&origin=inward,10.1016/j.nicl.2015.02.021,2015-01-01,2-s2.0-84924815051,KI,709-714,26594617.0,84924815051,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84924815051&origin=inward,Reich,NeuroImage: Clinical,Detection of demyelination in multiple sclerosis by analysis of T 2 ∗ relaxation at 7 T,Article
,https://api.elsevier.com/content/abstract/scopus_id/84885052576,Jeff H. Duyn;Zhongming Liu;Peter Van Gelderen;Jacco A. De Zwart,5,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84885052576&origin=inward,10.1007/s10548-013-0290-1,2013-10-01,2-s2.0-84885052576,,525-537,23660870.0,84885052576,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84885052576&origin=inward,Duyn,Brain Topography,Independent sources of spontaneous BOLD fluctuation along the visual pathway,Article
,https://api.elsevier.com/content/abstract/scopus_id/84939254120,Joan M. Ohayon;Bing Yao;Francesca Bagnato;Jeff Duyn;Fredric K. Cantor;Vasiliki N. Ikonomidou,8,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84939254120&origin=inward,10.1111/jon.12193,2015-01-01,2-s2.0-84939254120,,799-806,25657078.0,84939254120,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84939254120&origin=inward,Duyn,Journal of Neuroimaging,Heterogeneity of Multiple Sclerosis White Matter Lesions Detected With T2*-Weighted Imaging at 7.0 Tesla,Article
,https://api.elsevier.com/content/abstract/scopus_id/84974824221,Jeff H. Duyn;Qi Duan;Joe Murphy-Boesch;Natalia Gudino;Hellmut Merkle;Peter van Gelderen;Jacco A. de Zwart;Stephen J. Dodd,5,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84974824221&origin=inward,10.1002/mrm.25857,2016-07-01,2-s2.0-84974824221,,340-349,26256671.0,84974824221,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84974824221&origin=inward,Duyn,Magnetic Resonance in Medicine,Optically controlled switch-mode current-source amplifiers for on-coil implementation in high-field parallel transmission,Article
,https://api.elsevier.com/content/abstract/scopus_id/84977108816,Peter van Gelderen;Jeff H. Duyn;Xu Jiang,8,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84977108816&origin=inward,10.1002/mrm.26304,2017-06-01,2-s2.0-84977108816,,2174-2185,27342121.0,84977108816,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84977108816&origin=inward,Duyn,Magnetic Resonance in Medicine,Rapid measurement of brain macromolecular proton fraction with transient saturation transfer MRI,Article
,https://api.elsevier.com/content/abstract/scopus_id/84884541852,Jeff H. Duyn;Nancy D. Richert;Francesca Bagnato;Fernanda Tovar-Moll;Bibiana Bielekova;Natalie E. Cook;Vasiliki N. Ikonomidou;Alexander Vortmeyer,1,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84884541852&origin=inward,10.1177/1352458513498124,2013-01-01,2-s2.0-84884541852,,1539-1543,24062416.0,84884541852,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84884541852&origin=inward,Bielekova,Multiple Sclerosis Journal,Evolution of tumefactive lesions in multiple sclerosis: A 12-year study with serial imaging in a single patient,Article
,https://api.elsevier.com/content/abstract/scopus_id/84963818868,J. H. Duyn;K. Shmueli;P. van Gelderen;S. J. Dodd,1,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84963818868&origin=inward,10.1002/nbm.3525,2017-04-01,2-s2.0-84963818868,EPSRC,,27076394.0,84963818868,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84963818868&origin=inward,Duyn,NMR in Biomedicine,Investigating lipids as a source of chemical exchange-induced MRI frequency shifts,Article
,https://api.elsevier.com/content/abstract/scopus_id/84943277181,J. A. de Zwart;J. Duyn,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84943277181&origin=inward,10.1016/B978-0-12-397025-1.00009-9,2015-02-14,2-s2.0-84943277181,,89-96,,84943277181,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84943277181&origin=inward,Duyn,Brain Mapping: An Encyclopedic Reference,Evolution of Instrumentation for Functional Magnetic Resonance Imaging,Chapter
,https://api.elsevier.com/content/abstract/scopus_id/84948650823,Peter Keilman;Jeff H. Duyn;Jacco A. De Zwart;Yuxi Pang;Renxin Chu;Patrick J. Ledden;Peter Van Gelderen,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84948650823&origin=inward,10.1109/ISBI.2002.1029423,2002-01-01,2-s2.0-84948650823,,966-969,,84948650823,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84948650823&origin=inward,Duyn,Proceedings - International Symposium on Biomedical Imaging,Optimization of a high sensitivity MRI receive coil for parallel human brain imaging,Conference Paper
,https://api.elsevier.com/content/abstract/scopus_id/77952398184,Jeff H. Duyn;Jongho Lee;Hellmut Merkle;Masaki Fukunaga;Peter Van Gelderen;Karin Shmueli;Afonso C. Silva,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77952398184&origin=inward,10.1073/pnas.1003440107,2010-05-04,2-s2.0-77952398184,,8498,,77952398184,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77952398184&origin=inward,Duyn,Proceedings of the National Academy of Sciences of the United States of America,"Erratum: Sensitivity of MRI resonance frequency to the orientation of brain tissue microstructure (Proceedings National Academy Science USA (2010) 107, (5130-5135) DOI: 10.1073/pnas.0910222107)",Erratum
,https://api.elsevier.com/content/abstract/scopus_id/85011700174,Peter van Gelderen;Jeff H. Duyn;Xu Jiang,4,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85011700174&origin=inward,10.1002/mrm.26594,2017-11-01,2-s2.0-85011700174,,1950-1958,28150877.0,85011700174,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85011700174&origin=inward,Duyn,Magnetic Resonance in Medicine,Spectral characteristics of semisolid protons in human brain white matter at 7 T,Article
,https://api.elsevier.com/content/abstract/scopus_id/84872699821,Laura E. Danielian;Mary Kay Floeter;Justin Y. Kwan;Tianxia Wu;Avner Meoded,44,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84872699821&origin=inward,10.1016/j.nicl.2012.12.003,2013-01-28,2-s2.0-84872699821,,151-160,,84872699821,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84872699821&origin=inward,Duyn,NeuroImage: Clinical,Structural imaging differences and longitudinal changes in primary lateral sclerosis and amyotrophic lateral sclerosis,Article
,https://api.elsevier.com/content/abstract/scopus_id/85002411690,Bryan J. Traynor;Laura E. Braun;Laura E. Danielian;Devin Bageac;Mary Kay Floeter;Justin Y. Kwan,19,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85002411690&origin=inward,10.1016/j.nicl.2016.10.014,2016-01-01,2-s2.0-85002411690,,1035-1043,27995069.0,85002411690,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85002411690&origin=inward,Duyn,NeuroImage: Clinical,Longitudinal imaging in C9orf72 mutation carriers: Relationship to phenotype,Article
,https://api.elsevier.com/content/abstract/scopus_id/84907424554,Olivia Schanz;Rohan Katipally;Meredith P. Kim;Laura Danielian;Mary Kay Floeter;Tianxia Wu;Matthew Stephen;Avner Meoded;Edward D. Huey,15,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84907424554&origin=inward,10.1212/WNL.0000000000000693,2014-01-01,2-s2.0-84907424554,NINDS,620-627,25008395.0,84907424554,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84907424554&origin=inward,Duyn,Neurology,Impaired corticopontocerebellar tracts underlie pseudobulbar affect in motor neuron disorders,Article
,https://api.elsevier.com/content/abstract/scopus_id/84920842790,Olivia Schanz;Rohan Katipally;Arthur E. Morrissette;Mary Kay Floeter;Stephen J. Gotts;Avner Meoded,16,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84920842790&origin=inward,10.1016/j.nicl.2014.12.009,2015-01-01,2-s2.0-84920842790,,288-296,25610792.0,84920842790,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84920842790&origin=inward,Duyn,NeuroImage: Clinical,Cerebro-cerebellar connectivity is increased in primary lateral sclerosis,Article
,https://api.elsevier.com/content/abstract/scopus_id/85019030136,Laura E. Danielian;Saad Jbabdi;Karla L. Miller;Abhik Ray-Chaudhury;Agustin M. Cardenas;Devin Bageac;Hao Wei Wang;Mary Kay Floeter;Justin Y. Kwan;Sean Foxley;Robert C. Welsh;Joelle E. Sarlls;Zachary S. Gala,9,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85019030136&origin=inward,10.1016/j.nicl.2017.04.024,2017-01-01,2-s2.0-85019030136,,200-208,28529876.0,85019030136,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85019030136&origin=inward,Duyn,NeuroImage: Clinical,"Pathology of callosal damage in ALS: An ex-vivo, 7 T diffusion tensor MRI study",Article
,https://api.elsevier.com/content/abstract/scopus_id/2542597718,Judith L. Rapoport;Kiralee M. Hayashi;Deanna Greenstein;Jay N. Giedd;Tom F. Nugent;A. Catherine Vaituzis;Paul M. Thompson;Liv S. Clasen;David H. Herman;Leslie Lusk;Arthur W. Toga;Nitin Gogtay,3058,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=2542597718&origin=inward,10.1073/pnas.0402680101,2004-05-21,2-s2.0-2542597718,,8174-8179,15148381.0,2542597718,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=2542597718&origin=inward,Rapoport,Proceedings of the National Academy of Sciences of the United States of America,Dynamic mapping of human cortical development during childhood through early adulthood,Article
,https://api.elsevier.com/content/abstract/scopus_id/0037048693,Judith L. Rapoport;Alan C. Evans;Regina S. James;F. Xavier Castellanos;Jonathan D. Blumenthal;Deanna K. Greenstein;Jay N. Giedd;Alex Zijdenbos;Liv S. Clasen;Wendy Sharp;Neal O. Jeffries;Patti P. Lee;Christen L. Ebens;James M. Walter,1070,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0037048693&origin=inward,,2002-10-09,2-s2.0-0037048693,,1740-1748,12365958.0,37048693,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0037048693&origin=inward,Rapoport,Journal of the American Medical Association,Developmental trajectories of brain volume abnormalities in children and adolescents with attention-deficit/hyperactivity disorder,Article
