FMRIF?,Searched PI,Type,Source Title,Title,Authors (scrambled),Date,DOI,PubMed ID,Scopus ID,EID,Cited-By Count,Abstract Link,Scopus Link,Cited-By Link,Funding Agency,Page Range
,Cortese,Article,NeuroImage,"The genetics of cortical myelination in young adults and its relationships to cerebral surface area, cortical thickness, and intelligence: A magnetic resonance imaging study of twins and families: Genetics of Cortical Myelination, Area, Thickness, and Intelligence",Armin Raznahan;Siyuan Liu;Michael C. Neale;J. Eric Schmitt,2020-02-01,10.1016/j.neuroimage.2019.116319,31678229,85075464173,2-s2.0-85075464173,2,https://api.elsevier.com/content/abstract/scopus_id/85075464173,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85075464173&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85075464173&origin=inward,NIMH,
,Cortese,Article,JAMA Neurology,Association of Chronic Active Multiple Sclerosis Lesions with Disability in Vivo,Federica Masuzzo;Joan Ohayon;Irene C.M. Cortese;Pascal Sati;Daniel S. Reich;Hadar Kolb;Govind Nair;Tianxia Wu;Varun Sethi;Martina Absinta,2019-12-01,10.1001/jamaneurol.2019.2399,31403674,85070723559,2-s2.0-85070723559,12,https://api.elsevier.com/content/abstract/scopus_id/85070723559,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85070723559&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070723559&origin=inward,NINDS,1474-1483
,Cortese,Article,Annals of Clinical and Translational Neurology,Clinical trial of a humanized anti-IL-2/IL-15 receptor β chain in HAM/TSP,Joan Ohayon;Thomas A. Waldmann;Bonita R. Bryant;Yoshimi Enose-Akahata;Bridgette Jeanne Billioux;Raya Massoud;Unsong Oh;Nyater Ngouth;Steven Jacobson;Ashley Vellucci;Irene Cortese,2019-01-01,10.1002/acn3.50820,31402625,85070478095,2-s2.0-85070478095,2,https://api.elsevier.com/content/abstract/scopus_id/85070478095,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85070478095&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070478095&origin=inward,NINDS,1383-1394
,Duyn,Article,NeuroImage,B<inf>0</inf>-field dependence of MRI T<inf>1</inf> relaxation in human brain,Peter van Gelderen;Jeff H. Duyn;Yicun Wang;Jacco A. de Zwart,2020-06-01,10.1016/j.neuroimage.2020.116700,32145438,85081659893,2-s2.0-85081659893,0,https://api.elsevier.com/content/abstract/scopus_id/85081659893,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85081659893&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85081659893&origin=inward,NIH,
,Duyn,Review,Current Opinion in Behavioral Sciences,Physiological changes in sleep that affect fMRI inference,Catie Chang;Dante Picchioni;Pinar S. Ozbay;Jeff H. Duyn,2020-06-01,10.1016/j.cobeha.2019.12.007,,85076708543,2-s2.0-85076708543,0,https://api.elsevier.com/content/abstract/scopus_id/85076708543,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076708543&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076708543&origin=inward,NINDS,42-50
,Duyn,Article,Magnetic Resonance in Medicine,Background suppressed magnetization transfer MRI,Peter van Gelderen;Jeff H. Duyn,2020-03-01,10.1002/mrm.27978,31502706,85072082041,2-s2.0-85072082041,0,https://api.elsevier.com/content/abstract/scopus_id/85072082041,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85072082041&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85072082041&origin=inward,NINDS,883-891
Y,Duyn,Article,NeuroImage,Reducing motion sensitivity in 3D high-resolution T<inf>2</inf>*-weighted MRI by navigator-based motion and nonlinear magnetic field correction,Jiaen Liu;Peter van Gelderen;Jeff H. Duyn;Jacco A. de Zwart,2020-02-01,10.1016/j.neuroimage.2019.116332,31689535,85075334408,2-s2.0-85075334408,0,https://api.elsevier.com/content/abstract/scopus_id/85075334408,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85075334408&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85075334408&origin=inward,NINDS,
,Duyn,Article,Magnetic Resonance in Medicine,Eight-channel parallel transmit-receive system for 7 T MRI with optically controlled and monitored on-coil current-mode RF amplifiers,Natalia Gudino;Jeff H. Duyn;Jacco A. de Zwart,2020-01-01,10.1002/mrm.28392,,85087829004,2-s2.0-85087829004,0,https://api.elsevier.com/content/abstract/scopus_id/85087829004,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087829004&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087829004&origin=inward,,
,Duyn,Article,Communications Biology,Sympathetic activity contributes to the fMRI signal,Pinar Senay Özbay;Jeff Duyn;Miranda Grace Chappel-Farley;Catie Chang;Hendrik Mandelkow;Dante Picchioni;Jacco Adrianus de Zwart;Peter van Gelderen,2019-12-01,10.1038/s42003-019-0659-0,31754651,85075132629,2-s2.0-85075132629,5,https://api.elsevier.com/content/abstract/scopus_id/85075132629,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85075132629&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85075132629&origin=inward,NINDS,
,Duyn,Article,Molecular Autism,The oxytocin receptor gene predicts brain activity during an emotion recognition task in autism,Simone Shamay-Tsoory;John Suckling;Florina Uzefovsky;Lindsay Chura;Bhismadev Chakrabarti;Ed Bullmore;Simon Baron-Cohen;Rosemary Holt;Michael Spencer;Amber Ruigrok;Dorothea Floris;Richard A.I. Bethlehem;Varun Warrier,2019-03-12,10.1186/s13229-019-0258-4,30918622,85062965085,2-s2.0-85062965085,1,https://api.elsevier.com/content/abstract/scopus_id/85062965085,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062965085&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062965085&origin=inward,ISF,
,Grillon,Review,"Journal of Neurology, Neurosurgery and Psychiatry",The translational neural circuitry of anxiety,Brian Cornwell;Oliver J. Robinson;Christian Grillon;Alexandra C. Pike,2019-12-01,10.1136/jnnp-2019-321400,31256001,85068350181,2-s2.0-85068350181,5,https://api.elsevier.com/content/abstract/scopus_id/85068350181,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85068350181&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85068350181&origin=inward,NIMH,1353-1360
,Hallett,Article,"Journal of Neurology, Neurosurgery and Psychiatry",Effects of TPH2 gene variation and childhood trauma on the clinical and circuit-level phenotype of functional movement disorders,Silvina Horovitz;Carine W. Maurer;Colin Hodgkinson;David Goldman;Mark Hallett;Primavera A. Spagnolo;Gina Norato,2020-08-01,10.1136/jnnp-2019-322636,32576619,85088496283,2-s2.0-85088496283,0,https://api.elsevier.com/content/abstract/scopus_id/85088496283,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85088496283&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088496283&origin=inward,,814-821
,Hallett,Letter,Parkinsonism and Related Disorders,Low-frequency transcranial magnetic stimulation of the left dorsal premotor cortex in patients with cervical dystonia,Mark Hallett;Hae Won Shin,2020-07-01,10.1016/j.parkreldis.2020.05.027,32535288,85086097109,2-s2.0-85086097109,0,https://api.elsevier.com/content/abstract/scopus_id/85086097109,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086097109&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086097109&origin=inward,NINDS,13-15
,Hallett,Review,Movement Disorders Clinical Practice,Myoclonus: An Electrophysiological Diagnosis,Shabbir Hussain I. Merchant;Mark Hallett;Giorgio Leodori;Jay A. van Gerpen;Felipe Vial-Undurraga,2020-07-01,10.1002/mdc3.12986,,85087186310,2-s2.0-85087186310,0,https://api.elsevier.com/content/abstract/scopus_id/85087186310,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087186310&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087186310&origin=inward,,489-499
,Hallett,Review,Clinical Neurophysiology,Human brain connectivity: Clinical applications for clinical neurophysiology,Christian Grefkes;Paolo M. Rossini;Ivan Rektor;Gustavo Deco;Cecile Gallea;Francesca Miraglia;Tao Wu;Mark Hallett;Rick C. Helmich;Lukas J. Volz;Riccardo Di Iorio;Willem de Haan;Reinhard Dengler;Fabrizio Vecchio;Morten L. Kringelbach;Ondřej Strýček;Christian Gerloff,2020-07-01,10.1016/j.clinph.2020.03.031,32417703,85084423140,2-s2.0-85084423140,0,https://api.elsevier.com/content/abstract/scopus_id/85084423140,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084423140&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084423140&origin=inward,DFG,1621-1651
,Hallett,Review,Neurology,Functional gait disorders: A sign-based approach,Stephen G. Reich;Mark Hallett;Bastiaan R. Bloem;Evžen Růžička;Tereza Serranová;Jorik Nonnekes,2020-06-16,10.1212/WNL.0000000000009649,32482839,85086525286,2-s2.0-85086525286,0,https://api.elsevier.com/content/abstract/scopus_id/85086525286,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086525286&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086525286&origin=inward,,1093-1099
,Hallett,Article,Movement Disorders,Re-emergent Tremor in Parkinson's Disease: The Role of the Motor Cortex,Felipe Vial;Matteo Costanzo;Daniele Belvisi;Giorgio Leodori;Mark Hallett;Alfredo Berardelli;Maria I. De Bartolo;Andrea Fabbrini;Antonella Conte,2020-06-01,10.1002/mds.28022,32175656,85081717317,2-s2.0-85081717317,0,https://api.elsevier.com/content/abstract/scopus_id/85081717317,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85081717317&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85081717317&origin=inward,NINDS,1002-1011
,Hallett,Article,European Journal of Neurology,Opinions and clinical practices related to diagnosing and managing functional (psychogenic) movement disorders: changes in the last decade,A. K. Dwivedi;J. Stone;M. Edwards;M. Hallett;S. Lidstone;A. J. Espay;F. Morgante;K. LaFaver;C. W. Maurer;A. E. Lang,2020-06-01,10.1111/ene.14200,32153070,85082761012,2-s2.0-85082761012,0,https://api.elsevier.com/content/abstract/scopus_id/85082761012,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85082761012&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85082761012&origin=inward,NIH,975-984
,Hallett,Article,Clinical Neurophysiology,Task-specific interhemispheric hypoconnectivity in writer's cramp – An EEG study,Jessica Shields;Mark Hallett;Ajay S. Pillai;Nivethida Thirugnanasambandam;Tyler Zimmerman;Silvina G. Horovitz,2020-05-01,10.1016/j.clinph.2020.01.011,32193164,85081647501,2-s2.0-85081647501,0,https://api.elsevier.com/content/abstract/scopus_id/85081647501,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85081647501&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85081647501&origin=inward,NINDS,985-993
,Hallett,Review,Neurology,Defining research priorities in dystonia,David Standaert;Laura Scheinfeldt;Roy Sillitoe;Codrin Lungu;Beth Anne Sieber;Nicole Calakos;Rachel Saunders-Pullman;Laurie Ozelius;Jerrold Vitek;Brian D. Berman;Nutan Sharma;Sarah E. Pirio Richardson;Christine Swanson-Fisher;Anna Taylor;Philip A. Starr;Jennifer C. Moore;Mark Hallett;Kristina Simonyan;Joel S. Perlmutter,2020-03-24,10.1212/WNL.0000000000009140,32098856,85082342443,2-s2.0-85082342443,0,https://api.elsevier.com/content/abstract/scopus_id/85082342443,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85082342443&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85082342443&origin=inward,,526-537
,Hallett,Article,Journal of the Neurological Sciences,Characteristics of oscillatory pallidal neurons in patients with Parkinson's disease,Yongjie Li;Jianyu Li;Mark Hallett;Yuqing Zhang;Detao Meng;Ping Zhuang;Yongsheng Hu,2020-03-15,10.1016/j.jns.2019.116661,31918151,85077327067,2-s2.0-85077327067,0,https://api.elsevier.com/content/abstract/scopus_id/85077327067,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85077327067&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077327067&origin=inward,MOE,
,Hallett,Review,Brain,Evolving concepts on bradykinesia,Matteo Bologna;Giulia Paparella;Mark Hallett;Alfredo Berardelli;Alfonso Fasano,2020-03-01,10.1093/brain/awz344,31834375,85079381636,2-s2.0-85079381636,4,https://api.elsevier.com/content/abstract/scopus_id/85079381636,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079381636&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079381636&origin=inward,NINDS,727-750
,Hallett,Article,Brain Stimulation,Parietal conditioning enhances motor surround inhibition,Sarung Kashyap;Gregg Khodorov;Alexandra Mandel;Traian Popa;Jaron Kee;Mark Hallett;Giorgio Leodori;Nivethida Thirugnanasambandam;Alexander Shaft;Panagiotis Kassavetis,2020-03-01,10.1016/j.brs.2019.12.011,31879086,85076850852,2-s2.0-85076850852,0,https://api.elsevier.com/content/abstract/scopus_id/85076850852,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076850852&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076850852&origin=inward,NINDS,447-449
,Hallett,Article,Movement Disorders Clinical Practice,Gender as a Risk Factor for Functional Movement Disorders: The Role of Sexual Abuse,Sanaz Attaripour Isfahani;Isaiah Kletenik;Mark Hallett;Stefan H. Sillau;Kathrin LaFaver;Brian D. Berman,2020-02-01,10.1002/mdc3.12863,,85076377440,2-s2.0-85076377440,2,https://api.elsevier.com/content/abstract/scopus_id/85076377440,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076377440&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076377440&origin=inward,"CNS, UC",177-181
,Hallett,Article,Advanced Science,Transcranial Pulse Stimulation with Ultrasound in Alzheimer's Disease—A New Navigated Focal Brain Therapy,Tuna Aslan;Henning Lohse-Busch;Ernst Marlinghaus;Marleen Schönfeld;Johann Lehrner;Alexandra Weber;Mark Hallett;Heike Baldysiak;Roland Beisteiner;Ahmad Amini;Christina Fan;Eva Matt;Raphael Reinecke;Ulrike Reime;Cédric Goldenstedt;Tabea Philippi Novak,2020-02-01,10.1002/advs.201902583,,85076905050,2-s2.0-85076905050,2,https://api.elsevier.com/content/abstract/scopus_id/85076905050,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076905050&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076905050&origin=inward,NINDS,
,Hallett,Article,Clinical Neurophysiology Practice,"BacAv, a new free online platform for clinical back-averaging",Mark Hallett;Sanaz Attaripour;Felipe Vial;Patrick McGurrin,2020-01-01,10.1016/j.cnp.2019.12.001,,85079671191,2-s2.0-85079671191,0,https://api.elsevier.com/content/abstract/scopus_id/85079671191,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079671191&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079671191&origin=inward,NIH,38-42
,Hallett,Article,Clinical Neurophysiology Practice,"Tremoroton, a new free online platform for tremor analysis",Thomas Osterholt;Dietrich Haubenberger;Felipe Vial;Mark Hallett;Patrick McGurrin;Debra Ehrlich,2020-01-01,10.1016/j.cnp.2019.11.004,,85077703314,2-s2.0-85077703314,0,https://api.elsevier.com/content/abstract/scopus_id/85077703314,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85077703314&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077703314&origin=inward,NINDS,30-34
,Hallett,Review,Brain,Freezing of gait: Understanding the complexity of an enigmatic phenomenon,Daniel Weiss;Anna Schoellmann;Mark Hallett;Stewart A. Factor;Michael D. Fox;Alice Nieuwboer;Simon J.G. Lewis;Nicolaas I. Bohnen,2020-01-01,10.1093/brain/awz314,31647540,85076719762,2-s2.0-85076719762,6,https://api.elsevier.com/content/abstract/scopus_id/85076719762,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076719762&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076719762&origin=inward,MDS,14-30
,Hallett,Article,Journal of Neuropsychiatry and Clinical Neurosciences,Outcome measures for functional neurological disorder: A review of the theoretical complexities,Timothy R. Nicholson;Susannah Pick;Mark J. Edwards;Bridget Mildon;Mark Hallett;Glenn Nielsen;Alan Carson;David L. Perez;Jon Stone;Clare Nicholson;Laura H. Goldstein,2020-01-01,10.1176/appi.neuropsych.19060128,31865871,85078548167,2-s2.0-85078548167,4,https://api.elsevier.com/content/abstract/scopus_id/85078548167,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078548167&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078548167&origin=inward,NIHR,33-42
,Hallett,Review,Clinical Neurophysiology,International Federation of Clinical Neurophysiology (IFCN) – EEG research workgroup: Recommendations on frequency and topographic analysis of resting state EEG rhythms. Part 1: Applications in clinical research studies,Claudio Babiloni;Robert J. Barry;Erol Başar;Wilhelmus H.I.M. Drinkenburg;Fernando Lopes da Silva;Robert Oostenveld;Pedro Valdes-Sosa;Mark Hallett;Jaeseung Jeong;Robert T. Knight;Paul Nunez;Wolfgang Klimesch;Andrzej Cichocki;Katarzyna J. Blinowska;Roberto Pascual-Marqui,2020-01-01,10.1016/j.clinph.2019.06.234,31501011,85071871317,2-s2.0-85071871317,5,https://api.elsevier.com/content/abstract/scopus_id/85071871317,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071871317&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071871317&origin=inward,NINDS,285-307
,Hallett,Review,"Journal of Neurology, Neurosurgery and Psychiatry",Outcome measurement in functional neurological disorder: A systematic review and recommendations,Carine W. Maurer;Susannah Pick;Richard J. Brown;Ali A. Asadi-Pooya;Alex Lehn;Marina A.J. Tijssen;Bastiaan R. Bloem;Alan J. Carson;Michele Tinazzi;Petra Schwingenshuh;Beátrice Garcin;Timothy R. Nicholson;Maria Damianova;Paul Shotbolt;Roxanne C. Keynejad;Bridget Mildon;Eileen M. Joyce;Anthony S. David;Stoyan Popkirov;Gaston Baslet;Glenn Nielsen;Karen S. Rommelfanger;Lorna Myers;Selma Aybek;Joseph Jankovic;Francesca Morgante;Mark J. Edwards;W. Curt Lafrance;Glenn T. Stebbins;Trudie Chalder;Kasia Kozlowska;Sarah Lidstone;Steven A. Epstein;Jon Stone;Markus Reuber;Clare Nicholson;Alberto J. Espay;Laura H. Goldstein;Tereza Serranova;Kathrin Lafaver;Mark Hallett;Richard A. Kanaan;David L. Perez;David G. Anderson;Anthony E. Lang;Abigail Bradley-Westguard,2020-01-01,10.1136/jnnp-2019-322180,32111637,85081699833,2-s2.0-85081699833,2,https://api.elsevier.com/content/abstract/scopus_id/85081699833,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85081699833&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85081699833&origin=inward,,
,Hallett,Article,Cerebellum,Consensus Paper: Experimental Neurostimulation of the Cerebellum,Mahlon R. DeLong;Traian Popa;Nordeyn Oulad Ben Taib;Thomas Wichmann;Eric H. Wang;Tao Xie;Jaclyn Beckinghausen;Michelle Y. Cheng;Freek E. Hoebeek;Gary K. Steinberg;Michael A. Nitsche;Lynley V. Bradnam;Sheng Han Kuo;Elan D. Louis;Masaki Tanaka;Simona V. Gornati;Mario Manto;Andre Machado;Lauren N. Miterko;Mark Hallett;Dagmar Timmann;Alana B. McCambridge;Detlef H. Heck;Roy V. Sillitoe;Kenneth B. Baker;Abbas Z. Kouzani;Jessica Cooperrider,2019-12-01,10.1007/s12311-019-01041-5,31165428,85067246896,2-s2.0-85067246896,15,https://api.elsevier.com/content/abstract/scopus_id/85067246896,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85067246896&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85067246896&origin=inward,FNRS,1064-1097
,Hallett,Editorial,Journal of Clinical Neurophysiology,Brainstem Functions and Reflexes,Mark Hallett;Josep Valls-Solé,2019-11-01,10.1097/WNP.0000000000000584,31688321,85074548595,2-s2.0-85074548595,0,https://api.elsevier.com/content/abstract/scopus_id/85074548595,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85074548595&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85074548595&origin=inward,,395
,Hallett,Article,Movement Disorders Clinical Practice,How Do I Assess Tremor Using Novel Technology?,Dietrich Haubenberger;Mark Hallett;Katherine Longardner;Fatta B. Nahab;Felipe Vial Undurraga,2019-11-01,10.1002/mdc3.12818,,85074669748,2-s2.0-85074669748,1,https://api.elsevier.com/content/abstract/scopus_id/85074669748,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85074669748&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85074669748&origin=inward,NIH,733-734
,Hallett,Article,Movement Disorders,Evidence From Parkinson's Disease That the Superior Colliculus Couples Action and Perception,Edmond J. FitzGibbon;Mark Hallett;Lance M. Optican;Elena Pretegiani;Nora Vanegas-Arroyave,2019-11-01,10.1002/mds.27861,31633242,85074371990,2-s2.0-85074371990,1,https://api.elsevier.com/content/abstract/scopus_id/85074371990,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85074371990&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85074371990&origin=inward,NIH,1680-1689
,Hallett,Article,Toxicon,Botulinum toxin and occupational therapy for Writer's cramp,Omar F. Ahmad;Camilo Toro;Codrin Lungu;Barbara Karp;Monica Villegas;Mark Hallett;Ejaz A. Shamim;Tianxia Wu;Pattamon Panyakaew;Katharine Alter;Jung E. Park;Jonathan Sackett;Sungyoung Auh;P. Mathew,2019-11-01,10.1016/j.toxicon.2019.07.010,31351085,85070711291,2-s2.0-85070711291,1,https://api.elsevier.com/content/abstract/scopus_id/85070711291,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85070711291&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070711291&origin=inward,NINDS,12-17
,Hallett,Article,Parkinsonism and Related Disorders,Effect of light on blinking in patients with idiopathic isolated blepharospasm,Hyun Joo Cho;Mark Hallett;Yiwen Wu;Tianxia Wu;Charulata Sankhla Savant;Pattamon Panyakaew;Nguyet Dang,2019-10-01,10.1016/j.parkreldis.2019.09.010,31621610,85073122626,2-s2.0-85073122626,0,https://api.elsevier.com/content/abstract/scopus_id/85073122626,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073122626&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073122626&origin=inward,NINDS,66-71
,Hallett,Review,Clinical Neurophysiology,Methods for analysis of brain connectivity: An IFCN-sponsored review,G. Bertini;R. J. Ilmoniemi;M. A. Nitsche;U. Ziemann;M. Bentivoglio;M. Hallett;Y. Shirota;Y. Ugawa;C. Gerloff;C. Tesoriero;F. Vecchio;F. Miraglia;R. Di Iorio;M. Rosanova;F. Pestilli;P. M. Rossini;F. Ferreri,2019-10-01,10.1016/j.clinph.2019.06.006,31401492,85070222418,2-s2.0-85070222418,14,https://api.elsevier.com/content/abstract/scopus_id/85070222418,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85070222418&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070222418&origin=inward,,1833-1858
,Hallett,Article,Journal of Neuropsychiatry and Clinical Neurosciences,Hiding in plain sight: Functional neurological disorders in the news,Marina A.J. Tijssen;Bastiaan R. Bloem;Alan J. Carson;Michele Tinazzi;Alexander Lehn;Timothy R. Nicholson;Maria Stamelou;Philip Smith;Aileen McGonigal;Christopher P. Derry;Francesca Morgante;Mark J. Edwards;John Paul Leach;Mark P. Richardson;Hannah R. Cock;Markus Reuber;Jon Stone;Alberto J. Espay;Roderick Duncan;Mark Hallett;David L. Perez;Barbara A. Dworetzky;Anthony E. Lang;Stoyan Popkirov,2019-10-01,10.1176/appi.neuropsych.19010025,31117907,85073183339,2-s2.0-85073183339,2,https://api.elsevier.com/content/abstract/scopus_id/85073183339,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073183339&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073183339&origin=inward,NIHR,361-367
,Hallett,Letter,Parkinsonism and Related Disorders,"Response to the letter to the editor, “cerebellar repetitive transcranial magnetic stimulation for patients with essential tremor”",Mark Hallett;Hae Won Shin;Young H. Sohn,2019-09-01,10.1016/j.parkreldis.2019.07.027,31353308,85072773159,2-s2.0-85072773159,0,https://api.elsevier.com/content/abstract/scopus_id/85072773159,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85072773159&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85072773159&origin=inward,NINDS,260
,Hallett,Article,Parkinsonism and Related Disorders,Re-emergent tremor provocation,Alberto D. Rivero;Miguel Wilken;Mark Hallett;Malco Rossi;Marcelo Merello,2019-09-01,10.1016/j.parkreldis.2019.08.015,31471122,85071302286,2-s2.0-85071302286,1,https://api.elsevier.com/content/abstract/scopus_id/85071302286,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071302286&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071302286&origin=inward,,241-244
,Hallett,Review,Neurobiology of Disease,Pathogenesis and pathophysiology of functional (psychogenic) movement disorders,Mark Hallett;Joseph Jankovic;José Fidel Baizabal-Carvallo,2019-07-01,10.1016/j.nbd.2019.02.013,30798005,85061903841,2-s2.0-85061903841,16,https://api.elsevier.com/content/abstract/scopus_id/85061903841,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85061903841&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061903841&origin=inward,,32-44
,Hallett,Review,Movement Disorders,MDS evidence-based review of treatments for essential tremor,Joaquim J. Ferreira;Giovanni Abbruzzese;Julián Benito-León;Dietrich Haubenberger;Mark Hallett;Kelly E. Lyons;Günther Deuschl;Rodger Elble;Eng King Tan;Tiago A. Mestre,2019-07-01,10.1002/mds.27700,31046186,85065449992,2-s2.0-85065449992,6,https://api.elsevier.com/content/abstract/scopus_id/85065449992,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85065449992&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065449992&origin=inward,NIH,950-958
