Title,Searched PI,Authors (scrambled),Date,Cited-By Count,Source Title,Page Range,DOI,PubMed ID,Scopus ID,EID,Type,Funding Agency,Abstract Link,Scopus Link,Cited-By Link
Replay of cortical spiking sequences during human memory retrieval,Inati,Kareem A. Zaghloul;John H. Wittig;Sara K. Inati;Alex P. Vaz,2020-03-06,1,Science,1131-1134,10.1126/science.aaz3691,32139543.0,85081530905,2-s2.0-85081530905,Article,,https://api.elsevier.com/content/abstract/scopus_id/85081530905,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85081530905&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85081530905&origin=inward
Emerging roles of network analysis for epilepsy,Inati,Sridevi Sarma;Jennifer Stiso;William Stacey;Kareem Zaghloul;Beth A. Lopour;Jorge Gonzalez-Martinez;Sara Inati;Ankit N. Khambhati;Danielle S. Bassett;Kristin Gunnarsdottir;Richard Staba;Rachel J. Smith;Mark Kramer;Virginia B. Liu,2020-01-01,2,Epilepsy Research,,10.1016/j.eplepsyres.2019.106255,31855828.0,85076365131,2-s2.0-85076365131,Review,NSF,https://api.elsevier.com/content/abstract/scopus_id/85076365131,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076365131&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076365131&origin=inward
Changing temporal context in human temporal lobe promotes memory of distinct episodes,Inati,John H. Wittig;Kareem A. Zaghloul;Vishnu Sreekumar;Sara K. Inati;Mostafa M. El-Kalliny;Timothy C. Sheehan,2019-12-01,5,Nature Communications,,10.1038/s41467-018-08189-4,30643130.0,85060060314,2-s2.0-85060060314,Article,DARPA,https://api.elsevier.com/content/abstract/scopus_id/85060060314,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85060060314&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060060314&origin=inward
Large-Scale Communication in the Human Brain Is Rhythmically Modulated through Alpha Coherence,Inati,Rafi Haque;Julio I. Chapeton;Kareem A. Zaghloul;John H. Wittig;Sara K. Inati,2019-09-09,5,Current Biology,2801-2811.e5,10.1016/j.cub.2019.07.014,31422882.0,85071699340,2-s2.0-85071699340,Article,NINDS,https://api.elsevier.com/content/abstract/scopus_id/85071699340,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071699340&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071699340&origin=inward
The seizure onset zone drives state-dependent epileptiform activity in susceptible brain regions,Inati,Julio I. Chapeton;Kareem A. Zaghloul;William H. Theodore;Joshua M. Diamond;Sara K. Inati,2019-09-01,0,Clinical Neurophysiology,1628-1641,10.1016/j.clinph.2019.05.032,31325676.0,85068973354,2-s2.0-85068973354,Article,DDCF,https://api.elsevier.com/content/abstract/scopus_id/85068973354,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85068973354&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85068973354&origin=inward
Investigation of Architectures for Models of Neural Responses to Electrical Brain Stimulation,Inati,Cynthia Steinhardt;Kareem A. Zaghloul;Sridevi V. Sarma;Sara K. Inati;Pierre Sacre,2019-07-01,1,"Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS",6892-6895,10.1109/EMBC.2019.8857455,31947424.0,85077898652,2-s2.0-85077898652,Conference Paper,NSF,https://api.elsevier.com/content/abstract/scopus_id/85077898652,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85077898652&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077898652&origin=inward
Virtual Cortical Stimulation Mapping of Epilepsy Networks to Localize the Epileptogenic Zone,Inati,Kareem Zaghloul;Emily Johnson;Sridevi V. Sarma;Sara Inati;Zachary Fitzgerald;Adam Li;Nathan Crone;Jorge Martinez-Gonzalez;Juan Bulacio;Jennifer Hopp,2019-07-01,0,"Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS",2328-2331,10.1109/EMBC.2019.8856591,31946366.0,85077862771,2-s2.0-85077862771,Conference Paper,NIH,https://api.elsevier.com/content/abstract/scopus_id/85077862771,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85077862771&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077862771&origin=inward
Neuroinflammation in neocortical epilepsy measured by PET imaging of translocator protein,Inati,Alison Austermuehle;Kareem Zaghloul;William H. Theodore;Sara K. Inati;Sami Zoghbi;Leah P. Dickstein;Jeih San Liow;Paolo Zanotti-Fregonara,2019-06-01,5,Epilepsia,1248-1254,10.1111/epi.15967,31144767.0,85066482214,2-s2.0-85066482214,Article,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85066482214,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85066482214&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85066482214&origin=inward
Clinical advances in photosensitive epilepsy,Inati,Sara Inati;Varun Padmanaban;Kareem Zaghloul;Alexander Ksendzovsky,2019-01-15,2,Brain Research,18-25,10.1016/j.brainres.2018.07.025,30076791.0,85051361603,2-s2.0-85051361603,Review,,https://api.elsevier.com/content/abstract/scopus_id/85051361603,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85051361603&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85051361603&origin=inward
Coupled ripple oscillations between the medial temporal lobe and neocortex retrieve human memory,Inati,Kareem A. Zaghloul;Nicolas Brunel;Sara K. Inati;Alex P. Vaz,2019-01-01,24,Science,975-978,10.1126/science.aau8956,30819961.0,85062423715,2-s2.0-85062423715,Article,NIGMS,https://api.elsevier.com/content/abstract/scopus_id/85062423715,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062423715&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062423715&origin=inward
"Erratum to: Attention improves memory by suppressing spiking-neuron activity in the human anterior temporal lobe (Nature Neuroscience, (2018), 21, 6, (808-810), 10.1038/s41593-018-0148-7)",Inati,Kareem A. Zaghloul;John H. Wittig;John B. Cocjin;Sara K. Inati;Anthony I. Jang,2019-01-01,0,Nature Neuroscience,143,10.1038/s41593-018-0224-z,30127431.0,85058759646,2-s2.0-85058759646,Erratum,,https://api.elsevier.com/content/abstract/scopus_id/85058759646,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85058759646&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058759646&origin=inward
Creation and validation of a bladder dysfunction symptom score for HTLV-1-associated myelopathy/tropical spastic paraparesis,Jacobson,Daisuke Hasegawa;Junji Yamauchi;Ariella Coler-Reilly;Fabiola Martin;Naoko Yagishita;Eisuke Inoue;Jorge Casseb;Ayako Takata;Steven Jacobson;Natsumi Araya;Graham P. Taylor;Yoshihisa Yamano;Abelardo Araujo;Shuntaro Tsutsumi;Misako Nagasaka;Eduardo Gotuzzo;Tomoo Sato;Natsuko Yamakawa;Takahiko Ueno;Marzia Puccioni-Sohler;Tomohiro Matsuo,2020-07-03,0,Orphanet Journal of Rare Diseases,,10.1186/s13023-020-01451-3,32620176.0,85087472700,2-s2.0-85087472700,Article,,https://api.elsevier.com/content/abstract/scopus_id/85087472700,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087472700&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087472700&origin=inward
Human Herpesvirus 6 Detection in Alzheimer's Disease Cases and Controls across Multiple Cohorts,Jacobson,Juan C. Troncoso;Olga Pletnikova;Philip L. De Jager;Steven Jacobson;Marilyn S. Albert;Sarah M. Connor;Sonja W. Scholz;Kory Johnson;Susan M. Resnick;David A. Bennett;Mary Alice Allnutt,2020-03-18,4,Neuron,1027-1035.e2,10.1016/j.neuron.2019.12.031,31983538.0,85081374658,2-s2.0-85081374658,Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85081374658,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85081374658&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85081374658&origin=inward
The spectrum of spinal cord lesions in a primate model of multiple sclerosis,Jacobson,Daniel S. Reich;Jennifer A. Lefeuvre;Joseph R. Guy;Mathieu D. Santin;Pascal Sati;Afonso C. Silva;Steven Jacobson;Emily Leibovitch;Stéphane Lehéricy;Seung Kwon Ha;Nicholas J. Luciano,2020-03-01,1,Multiple Sclerosis Journal,284-293,10.1177/1352458518822408,30730246.0,85061608524,2-s2.0-85061608524,Article,,https://api.elsevier.com/content/abstract/scopus_id/85061608524,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85061608524&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061608524&origin=inward
Human T-lymphotropic virus type 1 (HTLV-1) and cellular immune response in HTLV-1-associated myelopathy/tropical spastic paraparesis,Jacobson,Ryuji Kubota;Satoshi Nozuma;Steven Jacobson,2020-01-01,0,Journal of NeuroVirology,,10.1007/s13365-020-00881-w,,85088396233,2-s2.0-85088396233,Review,NIH,https://api.elsevier.com/content/abstract/scopus_id/85088396233,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85088396233&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088396233&origin=inward
Comprehensive Analysis of TCR-β Repertoire in Patients with Neurological Immune-mediated Disorders,Jacobson,Kory R. Johnson;Alessandra de Paula Alves Sousa;Steven Jacobson;Jun Zhu;Joan Ohayon;Paolo A. Muraro,2019-12-01,7,Scientific Reports,,10.1038/s41598-018-36274-7,30674904.0,85060386177,2-s2.0-85060386177,Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85060386177,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85060386177&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060386177&origin=inward
Atomic structure of the human herpesvirus 6B capsid and capsid-associated tegument complexes,Jacobson,Wei Liu;Zihang Li;Z. Hong Zhou;Ye Mei;Ana L. Alvarez-Cabrera;Vinay Kumar;Yanxiang Cui;Steve Jacobson;Yibo Zhang;Guo Qiang Bi;Emily C. Leibovitch,2019-12-01,2,Nature Communications,,10.1038/s41467-019-13064-x,31767868.0,85075545295,2-s2.0-85075545295,Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85075545295,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85075545295&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85075545295&origin=inward
Immunovirological markers in HTLV-1-associated myelopathy/tropical spastic paraparesis (HAM/TSP),Jacobson,Steven Jacobson;Yoshimi Enose-Akahata,2019-11-29,0,Retrovirology,,10.1186/s12977-019-0499-5,31783764.0,85075800835,2-s2.0-85075800835,Review,,https://api.elsevier.com/content/abstract/scopus_id/85075800835,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85075800835&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85075800835&origin=inward
An evaluation of HHV-6 as an etiologic agent in Hodgkin lymphoma and brain cancer using IARC criteria for oncogenicity,Jacobson,Michael J. Wells;Steven Jacobson;Paul H. Levine,2019-11-05,0,Infectious Agents and Cancer,,10.1186/s13027-019-0248-3,,85074731822,2-s2.0-85074731822,Review,NINDS,https://api.elsevier.com/content/abstract/scopus_id/85074731822,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85074731822&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85074731822&origin=inward
Potential role of iron in repair of inflammatory demyelinating lesions,Jacobson,Daniel S. Reich;Cecil C. Yen;Pascal Sati;Afonso C. Silva;Nathanael J. Lee;Steven Jacobson;Govind Nair;Seung Kwon Ha;Tracey A. Rouault;Nicholas J. Luciano;Emily C. Leibovitch;Martina Absinta,2019-10-01,4,Journal of Clinical Investigation,4365-4376,10.1172/JCI126809,31498148.0,85072791172,2-s2.0-85072791172,Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85072791172,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85072791172&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85072791172&origin=inward
Essential role of human T cell leukemia virus type 1 orf-I in lethal proliferation of CD4<sup>+</sup> cells in humanized mice,Jacobson,Christopher C. Nixon;Laura Romero;Veronica Galli;Anne Van Den Broeke;Maria Omsland;Genoveffa Franchini;Robyn Washington-Parks;Cynthia Pise-Masison;Katherine McKinnon;Jerome A. Zack;Dai Fujikawa;Maria F. De Castro-Amarante;Natasa Strbo;Maria Artesi;Steve Jacobson;Breanna Caruso;Sophia Brown;Monica Vaccari;Baktiar Karim;Keith Durkin,2019-10-01,2,Journal of Virology,,10.1128/JVI.00565-19,31315992.0,85072153680,2-s2.0-85072153680,Article,OAR,https://api.elsevier.com/content/abstract/scopus_id/85072153680,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85072153680&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85072153680&origin=inward
Infection with HHV-6 and its role in epilepsy,Jacobson,Luca Bartolini;Steven Jacobson;William H. Theodore;William D. Gaillard,2019-07-01,1,Epilepsy Research,34-39,10.1016/j.eplepsyres.2019.03.016,30953871.0,85063693844,2-s2.0-85063693844,Review,EF,https://api.elsevier.com/content/abstract/scopus_id/85063693844,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85063693844&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85063693844&origin=inward
The “central vein sign” in inflammatory demyelination: The role of fibrillar collagen type I,Jacobson,Daniel S. Reich;Maria Chiara G. Monaco;Pascal Sati;Steven Jacobson;Nathanael J. Lee;Dragan Maric;Govind Nair;Seung Kwon Ha;Nicholas J. Luciano;Martina Absinta,2019-06-01,2,Annals of Neurology,934-942,10.1002/ana.25461,30847935.0,85063605374,2-s2.0-85063605374,Article,NINDS,https://api.elsevier.com/content/abstract/scopus_id/85063605374,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85063605374&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85063605374&origin=inward
Extracellular vesicles and ebola virus: A new mechanism of immune evasion,Jacobson,Michelle L. Pleet;Spencer W. Stonier;Steven Jacobson;Fatah Kashanchi;John M. Dye;M. Javad Aman;Catherine DeMarino,2019-05-01,5,Viruses,,10.3390/v11050410,31052499.0,85065661998,2-s2.0-85065661998,Review,NIH,https://api.elsevier.com/content/abstract/scopus_id/85065661998,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85065661998&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065661998&origin=inward
Prevalence of salivary human herpesviruses in pediatric multiple sclerosis cases and controls,Jacobson,Emmanuelle Waubant;Jennifer Graves;Cheng Te Major Lin;Steven Jacobson;Bridgette J. Billioux;Emily C. Leibovitch,2019-04-01,4,Multiple Sclerosis Journal,644-652,10.1177/1352458518765654,,85044758815,2-s2.0-85044758815,Article,,https://api.elsevier.com/content/abstract/scopus_id/85044758815,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85044758815&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85044758815&origin=inward
Viral Triggers and Inflammatory Mechanisms in Pediatric Epilepsy,Jacobson,Jane E. Libbey;Steven Jacobson;Teresa Ravizza;Robert S. Fujinami;Luca Bartolini;William D. Gaillard,2019-03-01,8,Molecular Neurobiology,1897-1907,10.1007/s12035-018-1215-5,29978423.0,85049601515,2-s2.0-85049601515,Review,EF,https://api.elsevier.com/content/abstract/scopus_id/85049601515,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049601515&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049601515&origin=inward
Do herpesviruses play a role in Alzheimer's disease pathogenesis?,Jacobson,Steven Jacobson;Mary Alice Allnutt,2019-01-01,0,Drug Discovery Today: Disease Models,,10.1016/j.ddmod.2019.10.006,,85076832235,2-s2.0-85076832235,Review,NINDS,https://api.elsevier.com/content/abstract/scopus_id/85076832235,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076832235&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076832235&origin=inward
Neuroimmunology of human T-lymphotropic virus type 1-associated myelopathy/tropical spastic paraparesis,Jacobson,Steven Jacobson;Satoshi Nozuma,2019-01-01,4,Frontiers in Microbiology,,10.3389/fmicb.2019.00885,,85068121438,2-s2.0-85068121438,Article,JSPS,https://api.elsevier.com/content/abstract/scopus_id/85068121438,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85068121438&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85068121438&origin=inward
HTLV-1 HBZ protein resides exclusively in the cytoplasm of infected cells in asymptomatic carriers and HAM/TSP patients,Jacobson,Greta Forlani;Marco Baratella;Alessandra Tedeschi;Steve Jacobson;Roberto S. Accolla;Claudine Pique,2019-01-01,7,Frontiers in Microbiology,,10.3389/fmicb.2019.00819,,85068151832,2-s2.0-85068151832,Article,NINDS,https://api.elsevier.com/content/abstract/scopus_id/85068151832,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85068151832&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85068151832&origin=inward
The unfolded protein response is activated in the olfactory system in Alzheimer's disease,Koretsky,Birger Victor Dieriks;Molly E.V. Swanson;Leonardo Belluscio;Alan Koretsky;Maurice A. Curtis;Praju Vikas Anekal;Clinton Turner;Helen C. Murray;Richard L.M. Faull,2020-07-14,0,Acta Neuropathologica Communications,,10.1186/s40478-020-00986-7,32665027.0,85088017287,2-s2.0-85088017287,Article,NINDS,https://api.elsevier.com/content/abstract/scopus_id/85088017287,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85088017287&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088017287&origin=inward
High-resolution MEMRI characterizes laminar specific ascending and descending spinal cord pathways in rats,Koretsky,Galit Pelled;Alan Koretsky;Jiadi Xu;Stasia A. Anderson;Albert German Mendoza;Vijai Krishnan,2020-07-01,0,Journal of Neuroscience Methods,,10.1016/j.jneumeth.2020.108748,32335077.0,85084132952,2-s2.0-85084132952,Article,NHLBI,https://api.elsevier.com/content/abstract/scopus_id/85084132952,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084132952&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084132952&origin=inward
Interactions between stimuli-evoked cortical activity and spontaneous low frequency oscillations measured with neuronal calcium,Koretsky,Alan P. Koretsky;Yingtian Pan;Kicheon Park;Wei Chen;Congwu Du,2020-04-15,1,NeuroImage,,10.1016/j.neuroimage.2020.116554,31972283.0,85078666319,2-s2.0-85078666319,Article,NINDS,https://api.elsevier.com/content/abstract/scopus_id/85078666319,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078666319&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078666319&origin=inward
Multifield and inverse-contrast switching of magnetocaloric high contrast ratio MRI labels,Koretsky,Alan P. Koretsky;Stephen J. Dodd;Barbara Marcheschi;H. Douglas Morris;Mladen Barbic;Hatem ElBidweihy;Neil R. Dilley;Alan L. Huston,2020-01-01,0,Magnetic Resonance in Medicine,,10.1002/mrm.28400,,85087644446,2-s2.0-85087644446,Article,,https://api.elsevier.com/content/abstract/scopus_id/85087644446,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087644446&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087644446&origin=inward
Magnetocaloric materials as switchable high contrast ratio MRI labels,Koretsky,Alan P. Koretsky;Stephen J. Dodd;Barbara Marcheschi;H. Douglas Morris;Mladen Barbic;Tim D. Harris;Alan Huston;Neil Dilley,2019-04-01,1,Magnetic Resonance in Medicine,2238-2246,10.1002/mrm.27615,30474159.0,85057214635,2-s2.0-85057214635,Article,NINDS,https://api.elsevier.com/content/abstract/scopus_id/85057214635,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85057214635&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85057214635&origin=inward
Manganese enhanced MRI for use in studying neurodegenerative diseases,Koretsky,Alan P. Koretsky;Galit Saar,2019-01-07,5,Frontiers in Neural Circuits,,10.3389/fncir.2018.00114,30666190.0,85060244899,2-s2.0-85060244899,Review,NIH,https://api.elsevier.com/content/abstract/scopus_id/85060244899,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85060244899&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060244899&origin=inward
Interhemispheric plasticity is mediated by maximal potentiation of callosal inputs,Koretsky,Alan P. Koretsky;Zhiwei Ma;John T.R. Isaac;Galit Saar;Steve Dodd;Emily Petrus,2019-01-01,1,Proceedings of the National Academy of Sciences of the United States of America,6391-6396,10.1073/pnas.1810132116,30846552.0,85063963911,2-s2.0-85063963911,Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85063963911,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85063963911&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85063963911&origin=inward
Opportunities in interventional and diagnostic imaging by using high-performance low-field-strength MRI,Koretsky,Alan P. Koretsky;Burcu Basar;Hui Xue;Joel Moss;Adrienne E. Campbell-Washburn;Rainer Schneider;Ashkan A. Malayeri;Peter Kellman;Robert S. Balaban;Himanshu Bhat;Robert J. Lederman;Matthew C. Restivo;Elizabeth C. Jones;Michael S. Hansen;Waqas Majeed;David Grodzki;Ipshita Bhattacharya;W. Patricia Bandettini;Marcus Y. Chen;Toby Rogers;Daniel A. Herzka;Rajiv Ramasawmy;Delaney R. McGuirt;Christine Mancini,2019-01-01,15,Radiology,384-393,10.1148/radiol.2019190452,31573398.0,85073581726,2-s2.0-85073581726,Article,NHLBI,https://api.elsevier.com/content/abstract/scopus_id/85073581726,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073581726&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073581726&origin=inward
Routine use of FLAIR-negative MRI in the treatment of unknown onset stroke,Latour,Malik M. Adil;Amie W. Hsia;Richard Leigh;Lawrence L. Latour;John K. Lynch;Chandni P. Kalaria;Marie Luby;Zurab Nadareishvili,2020-09-01,0,Journal of Stroke and Cerebrovascular Diseases,,10.1016/j.jstrokecerebrovasdis.2020.105093,,85087369278,2-s2.0-85087369278,Article,NINDS,https://api.elsevier.com/content/abstract/scopus_id/85087369278,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087369278&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087369278&origin=inward
Inflammatory Cytokines Associate With Neuroimaging After Acute Mild Traumatic Brain Injury,Latour,Jordan Peyer;Candace Moore;Lawrence Latour;Christina Devoto;Jessica M. Gill;Tara Davis;L. Christine Turtzo;Vivian A. Guedes;Cassandra L. Pattinson;Katie A. Edwards,2020-05-19,0,Frontiers in Neurology,,10.3389/fneur.2020.00348,,85085891795,2-s2.0-85085891795,Article,NINR,https://api.elsevier.com/content/abstract/scopus_id/85085891795,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85085891795&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85085891795&origin=inward
Traumatic microbleeds persist for up to five years following traumatic brain injury despite resolution of other acute findings on MRI,Latour,Lawrence Latour;Leighton Chan;Andre J. Van Der Merwe;Theresa Rizk;Mark D. Whiting;L. Christine Turtzo;Martin Cota,2020-05-11,0,Brain Injury,773-781,10.1080/02699052.2020.1725835,32228304.0,85082663603,2-s2.0-85082663603,Article,NINDS,https://api.elsevier.com/content/abstract/scopus_id/85082663603,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85082663603&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85082663603&origin=inward
Subarachnoid Hemorrhage and Cerebral Perfusion Are Associated with Brain Volume Decrease in a Cohort of Predominantly Mild Traumatic Brain Injury Patients,Latour,Lisa A. Van Der Kleij;Lawrence L. Latour;Jeroen Hendrikse;Matthew C. Restivo;L. Christine Turtzo;Jill B. De Vis,2020-02-15,0,Journal of Neurotrauma,600-607,10.1089/neu.2019.6514,31642407.0,85079097417,2-s2.0-85079097417,Article,NINDS,https://api.elsevier.com/content/abstract/scopus_id/85079097417,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079097417&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079097417&origin=inward
-----Comparison of T1-Post and FLAIR-Post MRI for identification of traumatic meningeal enhancement in traumatic brain injury patients,Latour,Lawrence L. Latour;L. Christine Turtzo;Tara S. Davis;Ana S. Tinoco Martinez;Jill B. De Vis;Jennifer E. Nathan,2020-01-01,0,PloS one,e0234881,10.1371/journal.pone.0234881,32614835.0,85087529072,2-s2.0-85087529072,Article,,https://api.elsevier.com/content/abstract/scopus_id/85087529072,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087529072&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087529072&origin=inward
Nonhomogeneous gadolinium retention in the cerebral cortex after intravenous administration of gadolinium-based contrast agent in rats and humans,Latour,Katharine J. Babcock;Jorge A. Soto;Laney E. Evers;Lawrence L. Latour;Bertrand R. Huber;Ali Guermazi;Stephan W. Anderson;Juliet A. Moncaster;Hernan Jara;Olga Minaeva;Chad W. Farris;Patrick T. Kiernan;Xiuping Liu;Sarah E. Chancellor;Ning Hua;Nicola Lupoli;Lee E. Goldstein;Asim Z. Mian;Ann C. McKee;Allison D. Griffin;Erich S. Franz;Victor E. Alvarez;Audrey M. Hildebrandt,2020-01-01,2,Radiology,377-385,10.1148/radiol.2019190461,31769744.0,85078517782,2-s2.0-85078517782,Article,BU,https://api.elsevier.com/content/abstract/scopus_id/85078517782,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078517782&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078517782&origin=inward
Circle of Willis anomalies in Turner syndrome: Absent A1 segment of the anterior cerebral artery,Latour,Maria T. Acosta;Lawrence Latour;Yonit A. Addissie;Nicole Banks;David C. Page;Ashley Buscetta;Paul Kruszka;Camilo Toro;Maximilian Muenke;Gilbert Vezina;Marie Luby,2019-11-15,0,Birth Defects Research,1584-1588,10.1002/bdr2.1609,31626395.0,85074102584,2-s2.0-85074102584,Article,,https://api.elsevier.com/content/abstract/scopus_id/85074102584,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85074102584&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85074102584&origin=inward
